hospital_name,latitude,longitude
Aayug Multi Speciality Hospital,12.9651587,77.7150508
MGA Hospital,12.9568547,77.7002262
Blossom Hospital,12.8705439,77.6595353
Bhagavathi Multi Speciality Hospital,12.9160636,77.6308219
Sri Sai Ram Hospital - Bangalore,12.9144587,77.6003156
Susheel Hospital,12.9645006,77.5427189
Dhanush Hospital,12.9654318,77.52312
Shreyas Maternity Home,13.074556,77.7821477
"Sadhana Eye Hospital, Bengaluru Urban",12.970023,77.6307987
Av Hospital,12.938853,77.5786096
"Balaji Hospital, K.H. Ranganath Colony",12.9632506,77.5602901
Banasawadi Hospital,13.0205082,77.6509675
Bangalore Eye Hospital And Retina Centre,13.0221036,77.6387729
Belaku Eye Hospital,12.9110766,77.4800451
Bhavatprabhu Hospitals Pvt Limited,12.9670615,77.5903161
Nikad Ortho Centre,12.975802,77.6184806
Raksha Multispeciality Hospital,13.0195733,77.5419559
Cambridge Hospital,13.0195955,77.5419813
"Prasad Hospital, Bengaluru Urban",13.0983472,77.5773677
Saranalaya Hospital,13.1215236,77.6126106
Azad Nagar Maternity Home,12.9559644,77.5485635
Gunasheela Surgical and Maternity Hospital,12.9403012,77.5764705
Excel Care Hospital,12.9207314,77.5736019
"Vasan Eye Care Hospital, Jayanagar",12.9292015,77.5819811
Hi Tech Kidney Stone Hospital,12.9271389,77.579028
Dr. Vidyananda's Surgery and Dia Centre,12.9242515,77.573217
"Srushti Hospital, Bengaluru Rural",12.8981572,77.6207364
Parimala Speciality Hospital,12.9004567,77.6005474
Banashankari Hospital,12.8443653,77.583809
"R K Hospital, Bengaluru Urban",13.0138123,77.6354731
"Prasad Eye Hospital, Bengaluru Urban",12.9356703,77.6079905
Unity Lifline Hospital Pvt Ltd,12.9819768,77.5108275
J.P.Nursing Home,13.0098352,77.5384723
North Side Health Centre,13.0267995,77.5870813
Anugrahaa Hospital,12.8548947,77.6681162
Amrutha Hospital,13.0657486,77.5992653
"Unity Hospital, Bengaluru Urban",12.910823,77.5207892
Dr Chaitanyas Dental Care & Implant Centre,12.9675989,77.6565533
Kareem E.N.T and Multispeciality Centre,12.9188948,77.6058905
HK Hospital,12.9085981,77.4784157
Chinmaya Narayana Super Specialty Centre,12.9777106,77.6459773
Jyothi The Lasik Vision Centre,12.9496114,77.5790786
S.S.G. Hospital,12.9868695,77.4794832
Bengaluru West Lions Hospital,12.9563042,77.5830996
Vijayanagar Hospital,12.9716291,77.5371969
Abhinava Eye Hospital,12.9550181,77.5683897
North Star Maternity and Nursing Home,12.9067079,77.5849275
"Punarjyoti Eye Hospital, Bengaluru Urban",12.9685305,77.5843965
Sundar Hospital,13.0080166,77.6221479
"Sri Ramakrishna Hospital, Bengaluru Urban",13.0121705,77.6961802
